
>Parameters: [90.0, 0.002, 1.2, 1.1, 0.8, 0.96, 0.01]
>Starting values: [80.0, 40.0, 60.0, 0.0]
#	41	3	2
time	0.0	0.5	1.0	1.5	2.0	2.5	3.0	3.5	4.0	4.5	5.0	5.5	6.0	6.5	7.0	7.5	8.0	8.5	9.0	9.5	10.0	10.5	11.0	11.5	12.0	12.5	13.0	13.5	14.0	14.5	15.0	15.5	16.0	16.5	17.0	17.5	18.0	18.5	19.0	19.5	20.0
1, 0, 0	80.0	91.2610806603	102.686308216	109.933251684	110.94869635	105.350207648	94.053824015	78.9247701932	62.3869294678	47.0019602739	35.0615898204	28.2435020078	27.3706704073	32.3183248974	42.0889928739	54.9985578019	68.9536947622	81.7868219846	91.5901657421	96.995932993	97.362738692	92.8421364293	84.3236658554	73.2721690674	61.4762424868	50.7637119947	42.7231559636	38.4692837969	38.4908214403	42.6039652149	50.0117463915	59.4506899958	69.4001576539	78.3243699642	84.9069288401	88.2422263143	87.9566594663	84.2435842844	77.8103449346	69.7494906208	61.3565453566
0, 1, 0	40.0	65.6770623435	88.2517033253	107.667075679	122.502876961	131.296471991	133.22065575	128.379472004	117.838728384	103.460946865	87.6050572525	72.7539295435	61.132425418	54.3761228139	53.3084553727	57.8539387226	67.0883391942	79.4118924153	92.820726734	105.228323012	114.786903689	120.158213072	120.696036127	116.519660134	108.460834525	97.9075143135	86.5713502948	76.21260428	68.3688585549	64.1294565994	63.988914328	67.79787149	74.8123980867	83.8316853145	93.3994744401	102.036172121	108.465098922	111.798658469	111.657310447	108.20645808	102.108893226
0, 0, 1	60.0	54.3421911216	58.4333526621	67.6229553127	78.7343069688	89.3188813562	97.4939357634	101.987525359	102.212678494	98.2878889686	90.9725160658	81.5172963057	71.4503707325	62.330628463	55.5071120257	51.922216133	51.9866824263	55.5390257071	61.8937424331	69.9671881791	78.4588749999	86.0584501761	91.6448538336	94.4505773749	94.1638156864	90.9562405304	85.4375236848	78.5444652378	71.3844585857	65.0592711412	60.4973011967	58.3196489497	58.7585580432	61.638478754	66.4196122809	72.2951168359	78.3248932339	83.5843191366	87.3043609385	88.9822232758	88.4469967924
0, 0, 2	0.0	28.5993791661	45.7748086195	66.8364968772	97.0947506838	135.324577476	175.918470887	212.310008623	240.375722222	260.107243959	274.85395752	288.844520381	304.597957093	321.741816721	337.782452627	350.164882756	358.251394313	363.974552552	370.904035065	382.310253128	399.394352489	420.697987707	442.908583382	462.539333943	477.619669428	488.30592522	496.288308806	503.522641201	511.038570128	518.536674318	524.922116082	529.325700355	531.934585736	534.118559403	537.800325679	544.462708943	554.369428781	566.432154322	578.765441952	589.579437403	597.917230788
0, 1, 1	0.0	-7.32141360981	-2.24188973051	17.5084797881	51.6590716593	93.8424234988	135.343040304	170.125200601	197.650834414	222.064241427	248.607059317	279.684109508	313.008223742	342.862180445	363.538354226	372.77481378	373.161139692	370.85151962	372.475113211	382.015190126	399.351371116	421.094703458	442.917627428	462.011301535	478.298471261	493.678758147	510.160558843	528.132198599	545.785546478	560.062144377	568.451830122	570.517214969	568.284434648	565.318791292	565.069255999	569.403941791	578.081333175	589.331777239	601.083095174	612.064976081	622.200769383
0, 2, 0	0.0	54.6787488059	121.394669132	208.452202661	306.04139433	398.631549655	474.572074141	531.50973644	575.808018427	617.144959716	661.963602248	709.764834818	754.225175431	788.111914007	808.578004823	819.577948782	830.147055438	849.814441188	883.767675672	930.493575098	983.033173941	1032.88857048	1074.14663192	1105.79288272	1130.96519031	1153.94697452	1177.14567226	1199.74030817	1218.65118833	1231.09707679	1236.92907654	1239.31221438	1243.43727215	1254.03296728	1273.1203155	1299.210901	1328.28308473	1355.8786176	1379.08418202	1397.37789423	1412.06564757
1, 0, 1	0.0	-5.59381093723	-6.01373188571	4.83142465074	21.1739562373	34.305189866	38.701026309	34.9542118772	28.7051860621	26.6784148842	32.3988879131	44.1379874721	56.1488971339	62.265725436	59.530455693	49.7465299425	38.2170298026	30.6823761553	30.259791448	36.1015908724	44.369337382	50.7517017053	52.906201307	51.5803429774	49.7348808705	50.3804834001	54.6420276447	61.0900996351	66.6539210779	68.5142483858	65.7407506778	59.7553588957	53.4677080658	49.6591305548	49.5869792717	52.5489542069	56.5535666042	59.612591067	60.8470299753	60.8004591708	60.8666452234
1, 1, 0	0.0	22.059372377	75.2997539479	143.661956957	211.305668624	267.236954819	309.659062896	344.998381118	382.251685516	426.376615573	474.764097852	518.758765466	549.121183039	561.883088792	560.849883948	555.762517145	557.376667916	572.345843487	600.585450597	636.385181751	672.254976918	703.054272688	728.086800032	750.392218884	773.651519308	799.101574046	824.414769061	844.967489748	856.710548965	858.803887846	854.365807176	849.078499214	848.542118529	855.821736074	870.477749128	889.428962725	908.966612431	926.681886059	942.243980207	956.777667888	971.415968982
2, 0, 0	0.0	81.5258461276	167.954546114	251.942490856	324.828230891	385.701673283	441.363467087	500.691534692	567.946146046	639.32953615	704.7713607	753.72819962	781.558290893	792.373922258	796.61337285	805.836927636	827.489463419	862.171932217	904.702331723	948.012305478	987.346781103	1022.30991739	1055.94217455	1091.74005059	1130.39136998	1168.69093373	1201.08852707	1222.77927176	1232.58262749	1233.76888669	1232.45317587	1234.77058989	1244.34494736	1261.24207747	1282.80461754	1305.6694846	1327.68715969	1348.67228926	1369.71661875	1391.69925218	1414.03017161
