,closure,h,iter,max_order,parameter_set,rtol,runtime,solver
0,scalar,,,6,safe,,9.860070943832397,cvode
1,scalar,,,6,safe,,9.903239011764526,cvode
2,scalar,,,6,safe,,9.903640031814575,cvode
3,scalar,,,6,safe,,9.834878921508789,cvode
4,scalar,,,6,safe,,9.866786003112793,cvode
5,scalar,,,6,safe,,10.106359004974365,cvode
6,scalar,,,6,safe,,9.951565980911255,cvode
7,scalar,,,6,safe,,9.86574387550354,cvode
8,scalar,,,6,safe,,9.855695009231567,cvode
9,scalar,,,6,safe,,9.780924081802368,cvode
10,scalar,,,6,unsafe,,31.56314706802368,cvode
11,scalar,,,6,unsafe,,31.60492706298828,cvode
12,scalar,,,6,unsafe,,31.605501890182495,cvode
13,scalar,,,6,unsafe,,31.558137893676758,cvode
14,scalar,,,6,unsafe,,31.56809091567993,cvode
15,scalar,,,6,unsafe,,31.367664098739624,cvode
16,scalar,,,6,unsafe,,31.81588077545166,cvode
17,scalar,,,6,unsafe,,31.929170846939087,cvode
18,scalar,,,6,unsafe,,31.824606895446777,cvode
19,scalar,,,6,unsafe,,31.5499370098114,cvode
20,scalar,,,6,safe,,11.373104095458984,dopri5
21,scalar,,,6,safe,,11.559284925460815,dopri5
22,scalar,,,6,safe,,11.072794914245605,dopri5
23,scalar,,,6,safe,,11.285385847091675,dopri5
24,scalar,,,6,safe,,10.980712175369263,dopri5
25,scalar,,,6,safe,,11.320646047592163,dopri5
26,scalar,,,6,safe,,11.182868957519531,dopri5
27,scalar,,,6,safe,,11.617966175079346,dopri5
28,scalar,,,6,safe,,11.03302788734436,dopri5
29,scalar,,,6,safe,,10.73925495147705,dopri5
30,scalar,,,6,unsafe,,24.762371063232422,dopri5
31,scalar,,,6,unsafe,,25.029580116271973,dopri5
32,scalar,,,6,unsafe,,25.262436151504517,dopri5
33,scalar,,,6,unsafe,,24.846562147140503,dopri5
34,scalar,,,6,unsafe,,24.666741847991943,dopri5
35,scalar,,,6,unsafe,,24.91303300857544,dopri5
36,scalar,,,6,unsafe,,25.087866067886353,dopri5
37,scalar,,,6,unsafe,,25.733462810516357,dopri5
38,scalar,,,6,unsafe,,25.982680082321167,dopri5
39,scalar,,,6,unsafe,,25.134235858917236,dopri5
40,scalar,,,6,safe,,28.56445598602295,euler
41,scalar,,,6,safe,,28.74410581588745,euler
42,scalar,,,6,safe,,28.679972887039185,euler
43,scalar,,,6,safe,,29.63349199295044,euler
44,scalar,,,6,safe,,28.845025062561035,euler
45,scalar,,,6,safe,,28.715906858444214,euler
46,scalar,,,6,safe,,28.83423089981079,euler
47,scalar,,,6,safe,,28.066200017929077,euler
48,scalar,,,6,safe,,28.329867124557495,euler
49,scalar,,,6,safe,,28.428251028060913,euler
50,scalar,,,6,unsafe,,28.389416933059692,euler
51,scalar,,,6,unsafe,,28.25114607810974,euler
52,scalar,,,6,unsafe,,28.595299005508423,euler
53,scalar,,,6,unsafe,,28.80901598930359,euler
54,scalar,,,6,unsafe,,28.747318983078003,euler
55,scalar,,,6,unsafe,,28.370532035827637,euler
56,scalar,,,6,unsafe,,28.239312887191772,euler
57,scalar,,,6,unsafe,,28.454551935195923,euler
58,scalar,,,6,unsafe,,28.54011082649231,euler
59,scalar,,,6,unsafe,,28.28483009338379,euler
60,scalar,,,6,safe,,49.89275884628296,lsodar
61,scalar,,,6,safe,,50.18878483772278,lsodar
62,scalar,,,6,safe,,50.093924045562744,lsodar
63,scalar,,,6,safe,,50.567139863967896,lsodar
64,scalar,,,6,safe,,50.05992293357849,lsodar
65,scalar,,,6,safe,,51.06259202957153,lsodar
66,scalar,,,6,safe,,48.99515986442566,lsodar
67,scalar,,,6,safe,,48.733985900878906,lsodar
68,scalar,,,6,safe,,48.79042601585388,lsodar
69,scalar,,,6,safe,,50.70896816253662,lsodar
70,scalar,,,6,unsafe,,309.3984570503235,lsodar
71,scalar,,,6,unsafe,,282.816565990448,lsodar
72,scalar,,,6,unsafe,,281.72564792633057,lsodar
73,scalar,,,6,unsafe,,276.1148250102997,lsodar
74,scalar,,,6,unsafe,,276.501522064209,lsodar
75,scalar,,,6,unsafe,,276.17118883132935,lsodar
76,scalar,,,6,unsafe,,274.1538290977478,lsodar
77,scalar,,,6,unsafe,,275.38930201530457,lsodar
78,scalar,,,6,unsafe,,275.9402539730072,lsodar
79,scalar,,,6,unsafe,,311.13349413871765,lsodar
80,scalar,,,6,safe,,5.210649013519287,ode15s
81,scalar,,,6,safe,,5.2207560539245605,ode15s
82,scalar,,,6,safe,,5.22114896774292,ode15s
83,scalar,,,6,safe,,5.213441848754883,ode15s
84,scalar,,,6,safe,,5.212159156799316,ode15s
85,scalar,,,6,safe,,5.215129852294922,ode15s
86,scalar,,,6,safe,,5.206881999969482,ode15s
87,scalar,,,6,safe,,5.206985950469971,ode15s
88,scalar,,,6,safe,,5.208174228668213,ode15s
89,scalar,,,6,safe,,5.242218971252441,ode15s
90,scalar,,,6,unsafe,,10.294154167175293,ode15s
91,scalar,,,6,unsafe,,10.301367998123169,ode15s
92,scalar,,,6,unsafe,,10.316551923751831,ode15s
93,scalar,,,6,unsafe,,10.313766956329346,ode15s
94,scalar,,,6,unsafe,,10.339323997497559,ode15s
95,scalar,,,6,unsafe,,10.35319709777832,ode15s
96,scalar,,,6,unsafe,,10.331544160842896,ode15s
97,scalar,,,6,unsafe,,10.288087844848633,ode15s
98,scalar,,,6,unsafe,,10.295692920684814,ode15s
99,scalar,,,6,unsafe,,10.316090106964111,ode15s
100,scalar,,,6,safe,,120.38355803489685,radau5
101,scalar,,,6,safe,,120.68042516708374,radau5
102,scalar,,,6,safe,,121.20592904090881,radau5
103,scalar,,,6,safe,,121.15692901611328,radau5
104,scalar,,,6,safe,,121.24250411987305,radau5
105,scalar,,,6,safe,,121.31205797195435,radau5
106,scalar,,,6,safe,,121.30421781539917,radau5
107,scalar,,,6,safe,,121.29446792602539,radau5
108,scalar,,,6,safe,,121.35635900497437,radau5
109,scalar,,,6,safe,,118.88502192497253,radau5
110,scalar,,,6,unsafe,,321.02939105033875,radau5
111,scalar,,,6,unsafe,,319.2476119995117,radau5
112,scalar,,,6,unsafe,,319.23195815086365,radau5
113,scalar,,,6,unsafe,,320.57957577705383,radau5
114,scalar,,,6,unsafe,,330.5744938850403,radau5
115,scalar,,,6,unsafe,,335.9866051673889,radau5
116,scalar,,,6,unsafe,,326.26615500450134,radau5
117,scalar,,,6,unsafe,,326.37103295326233,radau5
118,scalar,,,6,unsafe,,318.30318808555603,radau5
119,scalar,,,6,unsafe,,317.15571904182434,radau5
