>	Input file: ../Inoutput/ODEout.tmp
>	Parameters: [90.0, 0.002, 1.2, 1.1, 0.8, 0.96, 0.01]
>	Starting values: [80.0,40.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]
#	41	3	3
time	0.0	0.5	1.0	1.5	2.0	2.5	3.0	3.5	4.0	4.5	5.0	5.5	6.0	6.5	7.0	7.5	8.0	8.5	9.0	9.5	10.0	10.5	11.0	11.5	12.0	12.5	13.0	13.5	14.0	14.5	15.0	15.5	16.0	16.5	17.0	17.5	18.0	18.5	19.0	19.5	20.0
1, 0, 0	80.0	91.2610806603	102.686308216	109.933251684	110.94869635	105.350207648	94.0538240149	78.9247701932	62.3869294678	47.001960274	35.0615898206	28.2435020082	27.3706704079	32.3183248969	42.0889928739	54.9985578025	68.9536947619	81.7868219838	91.5901657401	96.9959329891	97.3627386877	92.8421364264	84.3236657923	73.272168988	61.4762424533	50.7637120227	42.7231560962	38.469283997	38.4908216837	42.6039654765	50.0117466282	59.4506901701	69.4001577002	78.3243698773	84.9069286181	88.2422259139	87.9566590434	84.2435838803	77.8103445963	69.7494903693	61.3565372955
0, 1, 0	40.0	65.6770623435	88.2517033254	107.667075679	122.502876961	131.296471991	133.22065575	128.379472004	117.838728384	103.460946864	87.6050572525	72.7539295436	61.1324254185	54.3761228132	53.3084553733	57.8539387246	67.0883391948	79.4118924158	92.8207267337	105.228323011	114.786903686	120.158213069	120.696036058	116.519660015	108.460834403	97.9075142165	86.5713502466	76.2126043249	68.3688586914	64.1294568203	63.9889146151	67.7978718302	74.8123983636	83.8316854997	93.3994744993	102.036171999	108.465098662	111.798658105	111.657310018	108.206457547	102.108817847
0, 0, 1	60.0	54.3421911216	58.4333526621	67.6229553127	78.7343069688	89.3188813562	97.4939357634	101.987525359	102.212678494	98.2878889685	90.9725160657	81.5172963056	71.4503707325	62.3306284628	55.5071120261	51.9222161344	51.9866824269	55.5390257081	61.8937424341	69.9671881798	78.4588749996	86.058450175	91.6448538086	94.4505773138	94.1638155953	90.9562404253	85.4375235614	78.5444651593	71.3844585646	65.0592711868	60.4973013154	58.319649156	58.7585582684	61.6384789746	66.4196124678	72.2951169645	78.3248932497	83.5843190466	87.3043607498	88.9822229399	88.4469327849
0, 0, 2	0.0	28.5993791662	45.7748086198	66.8364968772	97.0947506843	135.324577478	175.918470887	212.31000862	240.375722218	260.107243953	274.853957518	288.844520386	304.597957105	321.741816721	337.782452632	350.164882734	358.251394288	363.97455251	370.904035036	382.310253159	399.394352561	420.697987766	442.908583781	462.53933381	477.619668085	488.305923485	496.288307991	503.522642122	511.038572256	518.536676537	524.922116868	529.325698636	531.93458282	534.1185569	537.800325115	544.462711439	554.369432432	566.432157247	578.765442617	589.579434648	597.916484414
0, 0, 3	0.0	7.2518147019	31.997831058	72.4891220174	136.776033488	221.864924286	315.841782083	406.456514978	483.878362945	538.816083253	563.748669765	558.606355523	533.527518138	503.546481023	479.240235513	461.311901581	444.48924218	426.580910942	413.172697729	414.132386261	436.311852576	479.442877879	537.121045503	600.139850073	659.195286578	705.804569904	733.940973068	742.394264461	734.995273285	717.806717779	695.665401573	670.783726825	644.377547831	619.453498453	601.547128976	596.658827598	608.324431516	636.037909528	675.599590712	720.477925718	763.374532828
0, 1, 1	0.0	-7.32141360954	-2.24188973022	17.5084797878	51.6590716616	93.8424235009	135.343040301	170.125200595	197.650834408	222.064241424	248.607059321	279.68410952	313.00822376	342.862180452	363.538354219	372.774813724	373.161139642	370.851519565	372.475113224	382.015190231	399.351371229	421.094703512	442.917627307	462.011300298	478.29846905	493.678756873	510.16056023	528.132201684	545.785549665	560.06214574	568.451828264	570.517210113	568.28443043	565.318789843	565.069258316	569.403947687	578.081337999	589.33177882	601.083092824	612.064969993	622.199907962
0, 1, 2	0.0	-2.52801406169	5.42307136739	23.5619958081	50.1495444377	78.4488635588	105.569099906	132.145117548	152.59550772	151.191980217	112.77033401	37.7981097649	-55.0623348844	-141.337993378	-206.42857919	-251.648520456	-285.922285056	-314.269558719	-334.46663103	-341.772159057	-334.175009034	-313.066127558	-281.83206251	-245.804819043	-213.794937131	-197.252456454	-204.621473202	-235.793776751	-282.344729078	-333.176178855	-380.470138847	-421.656331047	-456.77718113	-484.909460231	-503.358676486	-509.274504207	-501.413772786	-480.827420906	-450.993163329	-417.888322423	-389.310255987
0, 2, 0	0.0	54.6787488077	121.39466913	208.452202663	306.041394336	398.631549654	474.572074129	531.509736428	575.808018421	617.14495972	661.963602259	709.76483484	754.22517545	788.111914024	808.5780048	819.577948708	830.147055338	849.814441155	883.767675783	930.493575276	983.033174037	1032.88857047	1074.14663068	1105.79288004	1130.96518809	1153.94697517	1177.14567677	1199.74031283	1218.65119073	1231.09707496	1236.92907082	1239.31220787	1243.43726987	1254.03297038	1273.12032274	1299.21090925	1328.28308752	1355.87861429	1379.08417456	1397.37788559	1412.0651894
0, 2, 1	0.0	2.38040752566	3.97193346432	18.0944314876	42.238955382	74.1889687461	116.130311438	161.936754706	186.387433986	156.805226826	60.5370198477	-80.6518123486	-225.43633141	-340.552169718	-417.924699663	-471.659397441	-518.077191747	-561.02391297	-593.395040281	-606.461722709	-595.808081086	-561.764204969	-509.943460753	-453.213937009	-411.309457326	-402.993399219	-434.789043592	-497.314344887	-572.695893762	-645.592807402	-709.414309177	-765.000141312	-814.152195029	-854.737363093	-881.290042962	-888.369237899	-873.362488675	-838.067324013	-789.594241351	-739.91800296	-702.782175887
