custom_cached_diff 9 -0.128
custom_cached_diff 19 0.3826
custom_cached_diff 34 1.0177
custom_cached_diff 55 1.6384
custom_cached_diff 83 2.2498
matlab 3 0.4216
matlab 9 1.4373
matlab 19 2.3248
no_simplify 3 -0.1237
no_simplify 9 0.4459
no_simplify 19 1.1208
no_simplify 34 1.7471
better_substitutions 3 -0.1289
better_substitutions 9 0.3756
better_substitutions 19 0.971
better_substitutions 34 1.5525
only_necessary_moments 3 -0.2639
only_necessary_moments 9 0.0975
only_necessary_moments 19 0.6664
only_necessary_moments 34 1.2753
only_necessary_moments 55 1.8829
use_quick_solve 3 -0.322
use_quick_solve 9 -0.0401
use_quick_solve 19 0.5202
use_quick_solve 34 1.1416
use_quick_solve 55 1.7369
use_quick_solve 83 2.3263
custom_cached_diff 3 -0.3448
custom_cached_diff 9 -0.1337
custom_cached_diff 19 0.3837
custom_cached_diff 34 1.018
custom_cached_diff 55 1.6378
custom_cached_diff 83 2.2493
